cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,gender,fsm,sen,l2_by19,l2_with_em_by19,l3_by19,l2_em_by16,l2_em_by19_belowat16,l2_by19_rate,l2_with_em_by19_rate,l3_by19_rate,l2_em_by19_belowat16_rate
2005,31700,a.North East,ALL,ALL,ALL,a.ALL,a.ALL,a.ALL,20660,13090,11970,11390,2050,65.17967,41.28150929,37.75120674,10.07534348
2005,16100,a.North East,ALL,ALL,ALL,b.Male,a.ALL,a.ALL,9840,6250,5450,5230,1250,61.08557943,38.82126444,33.86535834,11.50165624
2005,15600,a.North East,ALL,ALL,ALL,c.Female,a.ALL,a.ALL,10820,6830,6510,6160,800,69.40686117,43.82173774,41.7633857,8.433096726
2005,25930,a.North East,ALL,ALL,ALL,a.ALL,b.Not eligible for FSM,a.ALL,18350,12170,11120,10680,1790,70.77741786,46.92272096,42.86595712,11.7207473
2005,5770,a.North East,ALL,ALL,ALL,a.ALL,c.Eligible for FSM,a.ALL,2310,920,850,710,260,40,15.90633131,14.74414571,5.106888361
2005,1236,a.North East,E06000001,805,Hartlepool,a.ALL,a.ALL,a.ALL,803,477,459,396,93,64.96763754,38.59223301,37.13592233,11.07142857
2005,624,a.North East,E06000001,805,Hartlepool,b.Male,a.ALL,a.ALL,382,229,203,185,52,61.21794872,36.69871795,32.53205128,11.84510251
2005,612,a.North East,E06000001,805,Hartlepool,c.Female,a.ALL,a.ALL,421,248,256,211,41,68.79084967,40.52287582,41.83006536,10.2244389
2005,957,a.North East,E06000001,805,Hartlepool,a.ALL,b.Not eligible for FSM,a.ALL,680,423,405,358,76,71.0553814,44.20062696,42.31974922,12.68781302
2005,279,a.North East,E06000001,805,Hartlepool,a.ALL,c.Eligible for FSM,a.ALL,123,54,54,38,17,44.08602151,19.35483871,19.35483871,7.053941909
2005,1923,a.North East,E06000002,806,Middlesbrough,a.ALL,a.ALL,a.ALL,1137,621,584,554,92,59.12636505,32.29329173,30.36921477,6.720233747
2005,971,a.North East,E06000002,806,Middlesbrough,b.Male,a.ALL,a.ALL,515,293,255,259,54,53.03810505,30.17507724,26.26158599,7.584269663
2005,952,a.North East,E06000002,806,Middlesbrough,c.Female,a.ALL,a.ALL,622,328,329,295,38,65.33613445,34.45378151,34.55882353,5.783866058
2005,1309,a.North East,E06000002,806,Middlesbrough,a.ALL,b.Not eligible for FSM,a.ALL,883,532,489,478,74,67.45607334,40.64171123,37.35676089,8.904933815
2005,614,a.North East,E06000002,806,Middlesbrough,a.ALL,c.Eligible for FSM,a.ALL,254,89,95,76,18,41.36807818,14.49511401,15.4723127,3.345724907
2005,2066,a.North East,E06000003,807,Redcar and Cleveland,a.ALL,a.ALL,a.ALL,1441,917,823,796,145,69.74830591,44.38528558,39.83543078,11.41732283
2005,1043,a.North East,E06000003,807,Redcar and Cleveland,b.Male,a.ALL,a.ALL,688,450,377,374,92,65.96356663,43.14477469,36.14573346,13.75186846
2005,1023,a.North East,E06000003,807,Redcar and Cleveland,c.Female,a.ALL,a.ALL,753,467,446,422,53,73.60703812,45.65004888,43.59726295,8.818635607
2005,1633,a.North East,E06000003,807,Redcar and Cleveland,a.ALL,b.Not eligible for FSM,a.ALL,1243,847,755,739,128,76.11757502,51.86772811,46.23392529,14.31767338
2005,433,a.North East,E06000003,807,Redcar and Cleveland,a.ALL,c.Eligible for FSM,a.ALL,198,70,68,57,17,45.72748268,16.16628176,15.70438799,4.521276596
2005,2461,a.North East,E06000004,808,Stockton-on-Tees,a.ALL,a.ALL,a.ALL,1677,1126,1012,929,223,68.14303129,45.75375863,41.12149533,14.55613577
2005,1250,a.North East,E06000004,808,Stockton-on-Tees,b.Male,a.ALL,a.ALL,801,542,459,424,135,64.08,43.36,36.72,16.34382567
2005,1211,a.North East,E06000004,808,Stockton-on-Tees,c.Female,a.ALL,a.ALL,876,584,553,505,88,72.33691164,48.22460776,45.66473988,12.46458924
2005,1997,a.North East,E06000004,808,Stockton-on-Tees,a.ALL,b.Not eligible for FSM,a.ALL,1486,1043,937,871,193,74.41161743,52.22834251,46.92038057,17.14031972
