cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,sen,category,value
2021,90,London,E09000012,204,Hackney,ALL,SEN with statements or EHC plans,l2,35.55555556
2021,396,London,E09000012,204,Hackney,ALL,SEN without statements or EHC plans,l2,73.98989899
2021,1410,London,E09000012,204,Hackney,Not eligible for FSM,ALL,l2,90.35460993
2021,654,London,E09000012,204,Hackney,Eligible for FSM,ALL,l2,82.41590214
2021,1316,London,E09000013,205,Hammersmith and Fulham,ALL,ALL,l2,85.41033435
2021,1114,London,E09000013,205,Hammersmith and Fulham,ALL,No SEN,l2,91.02333932
2021,73,London,E09000013,205,Hammersmith and Fulham,ALL,SEN with statements or EHC plans,l2,31.50684932
2021,129,London,E09000013,205,Hammersmith and Fulham,ALL,SEN without statements or EHC plans,l2,67.44186047
2021,1043,London,E09000013,205,Hammersmith and Fulham,Not eligible for FSM,ALL,l2,88.59060403
2021,273,London,E09000013,205,Hammersmith and Fulham,Eligible for FSM,ALL,l2,73.26007326
2021,2243,London,E09000014,309,Haringey,ALL,ALL,l2,82.03299153
2021,1767,London,E09000014,309,Haringey,ALL,No SEN,l2,87.49292586
2021,124,London,E09000014,309,Haringey,ALL,SEN with statements or EHC plans,l2,31.4516129
2021,352,London,E09000014,309,Haringey,ALL,SEN without statements or EHC plans,l2,72.44318182
2021,1658,London,E09000014,309,Haringey,Not eligible for FSM,ALL,l2,84.19782871
2021,585,London,E09000014,309,Haringey,Eligible for FSM,ALL,l2,75.8974359
2021,2083,London,E09000015,310,Harrow,ALL,ALL,l2,90.11041767
2021,1770,London,E09000015,310,Harrow,ALL,No SEN,l2,93.78531073
2021,88,London,E09000015,310,Harrow,ALL,SEN with statements or EHC plans,l2,48.86363636
2021,225,London,E09000015,310,Harrow,ALL,SEN without statements or EHC plans,l2,77.33333333
2021,1856,London,E09000015,310,Harrow,Not eligible for FSM,ALL,l2,91.10991379
2021,227,London,E09000015,310,Harrow,Eligible for FSM,ALL,l2,81.93832599
2021,2792,London,E09000016,311,Havering,ALL,ALL,l2,82.59312321
2021,2545,London,E09000016,311,Havering,ALL,No SEN,l2,85.38310413
2021,97,London,E09000016,311,Havering,ALL,SEN with statements or EHC plans,l2,40.20618557
2021,150,London,E09000016,311,Havering,ALL,SEN without statements or EHC plans,l2,62.66666667
2021,2540,London,E09000016,311,Havering,Not eligible for FSM,ALL,l2,84.4488189
2021,252,London,E09000016,311,Havering,Eligible for FSM,ALL,l2,63.88888889
2021,3128,London,E09000017,312,Hillingdon,ALL,ALL,l2,85.51790281
2021,2701,London,E09000017,312,Hillingdon,ALL,No SEN,l2,90.15179563
2021,124,London,E09000017,312,Hillingdon,ALL,SEN with statements or EHC plans,l2,33.06451613
2021,303,London,E09000017,312,Hillingdon,ALL,SEN without statements or EHC plans,l2,65.67656766
2021,2741,London,E09000017,312,Hillingdon,Not eligible for FSM,ALL,l2,87.55928493
2021,387,London,E09000017,312,Hillingdon,Eligible for FSM,ALL,l2,71.05943152
2021,2607,London,E09000018,313,Hounslow,ALL,ALL,l2,88.72266974
2021,2175,London,E09000018,313,Hounslow,ALL,No SEN,l2,92.64367816
2021,81,London,E09000018,313,Hounslow,ALL,SEN with statements or EHC plans,l2,48.14814815
2021,351,London,E09000018,313,Hounslow,ALL,SEN without statements or EHC plans,l2,73.78917379
2021,2239,London,E09000018,313,Hounslow,Not eligible for FSM,ALL,l2,89.90620813
2021,368,London,E09000018,313,Hounslow,Eligible for FSM,ALL,l2,81.52173913
2021,1426,London,E09000019,206,Islington,ALL,ALL,l2,84.57223001
2021,1180,London,E09000019,206,Islington,ALL,No SEN,l2,89.74576271
2021,68,London,E09000019,206,Islington,ALL,SEN with statements or EHC plans,l2,26.47058824
2021,178,London,E09000019,206,Islington,ALL,SEN without statements or EHC plans,l2,72.47191011
2021,972,London,E09000019,206,Islington,Not eligible for FSM,ALL,l2,88.68312757
2021,454,London,E09000019,206,Islington,Eligible for FSM,ALL,l2,75.77092511
2021,721,London,E09000020,207,Kensington and Chelsea,ALL,ALL,l2,89.73647712
2021,650,London,E09000020,207,Kensington and Chelsea,ALL,No SEN,l2,91.53846154
2021,17,London,E09000020,207,Kensington and Chelsea,ALL,SEN with statements or EHC plans,l2,76.47058824
