cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,value,category
2021,2423,London,E09000028,210,Southwark,ALL,86.38052002,l2
2021,2538,London,E09000029,319,Sutton,ALL,90.78014184,l2
2021,2657,London,E09000030,211,Tower Hamlets,ALL,84.2679714,l2
2021,2622,London,E09000031,320,Waltham Forest,ALL,87.14721587,l2
2021,1748,London,E09000032,212,Wandsworth,ALL,84.26773455,l2
2021,1517,London,E09000033,213,Westminster,ALL,88.79367172,l2
2021,1019,North East,E06000001,805,Hartlepool,ALL,80.47105005,l2
2021,1336,North West,E06000006,876,Halton,ALL,77.61976048,l2
2021,2383,North West,E06000007,877,Warrington,ALL,84.13764163,l2
2021,1839,North West,E06000008,889,Blackburn with Darwen,ALL,83.4148994,l2
2021,1143,North West,E06000009,890,Blackpool,ALL,71.30358705,l2
2021,3549,North West,E06000049,895,Cheshire East,ALL,86.72865596,l2
2021,3302,North West,E06000050,896,Cheshire West and Chester,ALL,83.79769836,l2
2021,3012,North West,E08000001,350,Bolton,ALL,81.04249668,l2
2021,2136,North West,E08000002,351,Bury,ALL,83.70786517,l2
2021,4801,North West,E08000003,352,Manchester,ALL,77.2339096,l2
2021,2991,North West,E08000004,353,Oldham,ALL,76.93079238,l2
2021,2253,North West,E08000005,354,Rochdale,ALL,79.93786063,l2
2021,2105,North West,E08000006,355,Salford,ALL,73.15914489,l2
2021,2603,North West,E08000007,356,Stockport,ALL,80.48405686,l2
2021,2529,North West,E08000008,357,Tameside,ALL,79.99209174,l2
2021,2856,North West,E08000009,358,Trafford,ALL,87.53501401,l2
2021,3230,North West,E08000010,359,Wigan,ALL,81.14551084,l2
2021,933,North West,E08000011,340,Knowsley,ALL,65.2733119,l2
2021,4538,North West,E08000012,341,Liverpool,ALL,77.56721022,l2
2021,1702,North West,E08000013,342,St. Helens,ALL,76.90951821,l2
2021,2808,North West,E08000014,343,Sefton,ALL,81.08974359,l2
2021,3257,North West,E08000015,344,Wirral,ALL,82.34571692,l2
2021,4729,North West,E10000006,909,Cumbria,ALL,81.85662931,l2
2021,11955,North West,E10000017,888,Lancashire,ALL,81.64784609,l2
2021,2915,South East,E06000035,887,Medway,ALL,81.71526587,l2
2021,1043,South East,E06000036,867,Bracknell Forest,ALL,81.97507191,l2
2021,1755,South East,E06000037,869,West Berkshire,ALL,82.90598291,l2
2021,2796,East Midlands,E06000015,831,Derby,ALL,70.49356223,l2
2021,3563,East Midlands,E06000016,856,Leicester,ALL,77.40667976,l2
2021,466,East Midlands,E06000017,857,Rutland,ALL,91.20171674,l2
2021,2334,East Midlands,E06000018,892,Nottingham,ALL,70.17994859,l2
2021,3418,East Midlands,E06000061,940,North Northamptonshire,ALL,81.91925102,l2
2021,3985,East Midlands,E06000062,941,West Northamptonshire,ALL,81.05395232,l2
2021,7096,East Midlands,E10000007,830,Derbyshire,ALL,78.53720406,l2
2021,6880,East Midlands,E10000018,855,Leicestershire,ALL,82.90697674,l2
2021,7324,East Midlands,E10000019,925,Lincolnshire,ALL,81.06226106,l2
2021,7784,East Midlands,E10000024,891,Nottinghamshire,ALL,80.34429599,l2
2021,2323,East of England,E06000031,874,Peterborough,ALL,76.84029272,l2
2021,2619,East of England,E06000032,821,Luton,ALL,81.21420389,l2
2021,2021,East of England,E06000033,882,Southend-on-Sea,ALL,84.8589807,l2
2021,1636,East of England,E06000034,883,Thurrock,ALL,77.200489,l2
2021,1847,East of England,E06000055,822,Bedford,ALL,83.32430969,l2
2021,2586,East of England,E06000056,823,Central Bedfordshire,ALL,82.94663573,l2
2021,5483,East of England,E10000003,873,Cambridgeshire,ALL,81.63414189,l2
2021,1093,South East,E06000038,870,Reading,ALL,74.7483989,l2
2021,1668,South East,E06000039,871,Slough,ALL,89.14868106,l2
2021,1496,South East,E06000040,868,Windsor and Maidenhead,ALL,87.09893048,l2
2021,1657,South East,E06000041,872,Wokingham,ALL,86.05914303,l2
2021,2804,South East,E06000042,826,Milton Keynes,ALL,81.34807418,l2
2021,2207,South East,E06000043,846,Brighton and Hove,ALL,82.14771183,l2
2021,1698,South East,E06000044,851,Portsmouth,ALL,76.32508834,l2
2021,1913,South East,E06000045,852,Southampton,ALL,74.90852065,l2
2021,1080,South East,E06000046,921,Isle of Wight,ALL,73.42592593,l2
2021,5710,South East,E06000060,825,Buckinghamshire,ALL,88.0910683,l2
2021,4724,South East,E10000011,845,East Sussex,ALL,79.63590178,l2
2021,12535,South East,E10000014,850,Hampshire,ALL,82.8958915,l2
2021,15643,South East,E10000016,886,Kent,ALL,79.62027744,l2
2021,5918,South East,E10000025,931,Oxfordshire,ALL,80.11152416,l2
2021,10085,South East,E10000030,936,Surrey,ALL,85.88993555,l2
2021,7619,South East,E10000032,938,West Sussex,ALL,82.79301746,l2
2021,2079,South West,E06000022,800,Bath and North East Somerset,ALL,83.11688312,l2
2021,3159,South West,E06000023,801,"Bristol, City of",ALL,78.63247863,l2
2021,14092,East of England,E10000012,881,Essex,ALL,69.06755606,l2em
2021,12422,East of England,E10000015,919,Hertfordshire,ALL,77.05683465,l2em
2021,7562,East of England,E10000020,926,Norfolk,ALL,66.75482677,l2em
2021,6828,East of England,E10000029,935,Suffolk,ALL,70.86994728,l2em
2021,2249,London,E09000002,301,Barking and Dagenham,ALL,66.47398844,l2em
2021,3788,London,E09000003,302,Barnet,ALL,80.67581837,l2em
2021,3045,London,E09000004,303,Bexley,ALL,73.56321839,l2em
2021,2981,London,E09000005,304,Brent,ALL,74.8406575,l2em
2021,3150,London,E09000006,305,Bromley,ALL,76.25396825,l2em
2021,1562,London,E09000007,202,Camden,ALL,72.53521127,l2em
2021,3443,London,E09000008,306,Croydon,ALL,70.34562881,l2em
2021,2917,London,E09000009,307,Ealing,ALL,75.76276997,l2em
2021,3460,London,E09000010,308,Enfield,ALL,70.54913295,l2em
2021,2308,London,E09000011,203,Greenwich,ALL,67.02772964,l2em
2021,2064,London,E09000012,204,Hackney,ALL,74.6124031,l2em
2021,1316,London,E09000013,205,Hammersmith and Fulham,ALL,77.05167173,l2em
2021,2243,London,E09000014,309,Haringey,ALL,68.39054837,l2em
2021,2083,London,E09000015,310,Harrow,ALL,77.96447432,l2em
2021,2792,London,E09000016,311,Havering,ALL,72.99426934,l2em
2021,3128,London,E09000017,312,Hillingdon,ALL,73.43350384,l2em
2021,2607,London,E09000018,313,Hounslow,ALL,78.17414653,l2em
2021,1426,London,E09000019,206,Islington,ALL,71.94950912,l2em
2021,721,London,E09000020,207,Kensington and Chelsea,ALL,80.58252427,l2em
2021,1537,London,E09000021,314,Kingston upon Thames,ALL,83.86467144,l2em
2021,2151,London,E09000022,208,Lambeth,ALL,65.41143654,l2em
2021,2126,London,E09000023,209,Lewisham,ALL,69.8494826,l2em
2021,1425,London,E09000024,315,Merton,ALL,74.24561404,l2em
2021,3809,London,E09000025,316,Newham,ALL,73.6676293,l2em
2021,3445,London,E09000026,317,Redbridge,ALL,80.52249637,l2em
2021,1313,North East,E06000002,806,Middlesbrough,ALL,66.03198781,l2em
2021,1521,North East,E06000003,807,Redcar and Cleveland,ALL,66.86390533,l2em
2021,1938,North East,E06000004,808,Stockton-on-Tees,ALL,70.12383901,l2em
2021,1100,North East,E06000005,841,Darlington,ALL,70.81818182,l2em
2021,4568,North East,E06000047,840,County Durham,ALL,66.52802102,l2em
2021,3050,North East,E06000057,929,Northumberland,ALL,68.98360656,l2em
2021,2479,North East,E08000021,391,Newcastle upon Tyne,ALL,63.77571601,l2em
2021,1900,North East,E08000022,392,North Tyneside,ALL,69.21052632,l2em
2021,1436,North East,E08000023,393,South Tyneside,ALL,67.54874652,l2em
2021,2616,North East,E08000024,394,Sunderland,ALL,63.99082569,l2em
2021,1892,North East,E08000037,390,Gateshead,ALL,68.71035941,l2em
2021,5976,Yorkshire and the Humber,E10000023,815,North Yorkshire,ALL,74.46452477,l2em
2021,12261,West Midlands,E08000025,330,Birmingham,ALL,68.55068918,l2em
2021,3364,West Midlands,E08000026,331,Coventry,ALL,65.1902497,l2em
2021,3293,West Midlands,E08000027,332,Dudley,ALL,65.98846037,l2em
2021,3651,West Midlands,E08000028,333,Sandwell,ALL,60.14790468,l2em
2021,2920,West Midlands,E08000029,334,Solihull,ALL,73.32191781,l2em
2021,3012,West Midlands,E08000030,335,Walsall,ALL,61.71978752,l2em
2021,2905,West Midlands,E08000031,336,Wolverhampton,ALL,63.51118761,l2em
2021,8348,West Midlands,E10000028,860,Staffordshire,ALL,67.05797796,l2em
2021,5528,West Midlands,E10000031,937,Warwickshire,ALL,73.39001447,l2em
2021,5326,West Midlands,E10000034,885,Worcestershire,ALL,69.80848667,l2em
2021,2252,Yorkshire and the Humber,E06000010,810,"Kingston Upon Hull, City of",ALL,63.94316163,l2em
2021,3164,Yorkshire and the Humber,E06000011,811,East Riding of Yorkshire,ALL,75.47408344,l2em
2021,1418,Yorkshire and the Humber,E06000012,812,North East Lincolnshire,ALL,68.61777151,l2em
2021,1651,Yorkshire and the Humber,E06000013,813,North Lincolnshire,ALL,70.26044821,l2em
2021,1613,Yorkshire and the Humber,E06000014,816,York,ALL,75.94544327,l2em
2021,2019,Yorkshire and the Humber,E08000016,370,Barnsley,ALL,64.58642893,l2em
2021,2922,Yorkshire and the Humber,E08000017,371,Doncaster,ALL,63.6550308,l2em
2021,3159,Yorkshire and the Humber,E08000018,372,Rotherham,ALL,64.6090535,l2em
2021,5048,Yorkshire and the Humber,E08000019,373,Sheffield,ALL,65.57052298,l2em
2021,5992,Yorkshire and the Humber,E08000032,380,Bradford,ALL,63.76835781,l2em
2021,2430,Yorkshire and the Humber,E08000033,381,Calderdale,ALL,72.34567901,l2em
2021,4518,Yorkshire and the Humber,E08000034,382,Kirklees,ALL,70.51792829,l2em
2021,7501,Yorkshire and the Humber,E08000035,383,Leeds,ALL,67.87095054,l2em
2021,3416,Yorkshire and the Humber,E08000036,384,Wakefield,ALL,66.8618267,l2em
2021,2101,South West,E06000024,802,North Somerset,ALL,73.39362208,l2em
2021,2513,South West,E06000025,803,South Gloucestershire,ALL,69.3195384,l2em
2021,2506,South West,E06000026,879,Plymouth,ALL,67.47805267,l2em
2021,1353,South West,E06000027,880,Torbay,ALL,68.44050259,l2em
2021,2052,South West,E06000030,866,Swindon,ALL,67.49512671,l2em
2021,5131,South West,E06000052,908,Cornwall,ALL,68.3102709,l2em
2021,15,South West,E06000053,420,Isles of Scilly,ALL,93.33333333,l2em
2021,4662,South West,E06000054,865,Wiltshire,ALL,73.87387387,l2em
2021,3441,South West,E06000058,839,"Bournemouth, Christchurch and Poole",ALL,74.48416158,l2em
2021,3436,South West,E06000059,838,Dorset,ALL,72.35157159,l2em
2021,6609,South West,E10000008,878,Devon,ALL,69.26917839,l2em
2021,6016,South West,E10000013,916,Gloucestershire,ALL,74.48470745,l2em
2021,4616,South West,E10000027,933,Somerset,ALL,68.08925477,l2em
2021,1647,West Midlands,E06000019,884,Herefordshire,ALL,72.3132969,l2em
2021,1939,West Midlands,E06000020,894,Telford and Wrekin,ALL,65.49767922,l2em
