cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,gender,fsm,sen,l2_by19,l2_with_em_by19,l3_by19,l2_em_by16,l2_em_by19_belowat16,l2_by19_rate,l2_with_em_by19_rate,l3_by19_rate,l2_em_by19_belowat16_rate
2011,1037,North East,E08000023,393,South Tyneside,Male,ALL,ALL,801,579,435,457,138,77.24204436,55.83413693,41.94792671,23.79310345
2011,3765,North East,E08000024,394,Sunderland,ALL,ALL,ALL,3041,2282,1832,1820,521,80.77025232,60.61088977,48.65869854,26.78663239
2011,2910,North East,E08000024,394,Sunderland,ALL,ALL,No SEN,2602,2124,1684,1744,422,89.41580756,72.98969072,57.86941581,36.19210978
2011,137,North East,E08000024,394,Sunderland,ALL,ALL,SEN with statements or EHC plans,33,8,5,6,5,24.08759124,5.839416058,3.649635036,3.816793893
2011,718,North East,E08000024,394,Sunderland,ALL,ALL,SEN without statements or EHC plans,406,150,143,70,94,56.545961,20.8913649,19.91643454,14.50617284
2011,3246,North East,E08000024,394,Sunderland,ALL,Not eligible for FSM,ALL,2709,2102,1700,1692,454,83.45656192,64.75662354,52.37215034,29.21492921
2011,519,North East,E08000024,394,Sunderland,ALL,Eligible for FSM,ALL,332,180,132,128,67,63.96917148,34.68208092,25.43352601,17.13554987
2011,1870,North East,E08000024,394,Sunderland,Female,ALL,ALL,1556,1176,980,969,229,83.20855615,62.88770053,52.40641711,25.41620422
2011,1895,North East,E08000024,394,Sunderland,Male,ALL,ALL,1485,1106,852,851,292,78.36411609,58.36411609,44.96042216,27.96934866
2011,2283,North East,E08000037,390,Gateshead,ALL,ALL,ALL,1934,1387,1104,1101,307,84.7130968,60.75339466,48.35742444,25.97292724
2011,1886,North East,E08000037,390,Gateshead,ALL,ALL,No SEN,1715,1317,1037,1069,268,90.93319194,69.83032874,54.98409332,32.80293758
2011,86,North East,E08000037,390,Gateshead,ALL,ALL,SEN with statements or EHC plans,41,15,15,5,11,47.6744186,17.44186047,17.44186047,13.58024691
2011,311,North East,E08000037,390,Gateshead,ALL,ALL,SEN without statements or EHC plans,178,55,52,27,28,57.23472669,17.68488746,16.72025723,9.85915493
2011,1941,North East,E08000037,390,Gateshead,ALL,Not eligible for FSM,ALL,1703,1261,1012,1029,251,87.73827924,64.96651211,52.13807316,27.52192982
2011,342,North East,E08000037,390,Gateshead,ALL,Eligible for FSM,ALL,231,126,92,72,56,67.54385965,36.84210526,26.9005848,20.74074074
2011,1120,North East,E08000037,390,Gateshead,Female,ALL,ALL,954,686,603,567,130,85.17857143,61.25,53.83928571,23.50813743
